high,low,radiation
24,19,20.6
26,20,19.8
28,20,17.9
26,20,14.6
25,18,11.9
28,21,11.1
28,23,11.6
29,22,13.6
31,25,15.4
24,22,17.4
26,20,18.8
25,21,20.9
26,21,
27,21,
27,22,
28,20,
24,21,
23,20,
24,20,
22,19,
26,19,
30,19,
25,20,
26,21,
28,21,
29,24,
31,24,
21,19,
21,19,
27,19,
28,21,
27,21,
31,22,
27,22,
22,19,
23,19,
27,20,
27,20,
28,19,
29,21,
27,22,
23,20,
26,20,
29,19,
29,22,
23,20,
27,19,
25,20,
32,22,
29,23,
27,23,
33,24,
24,21,
25,19,
27,20,
29,21,
28,22,
28,21,
29,22,
26,21,
28,19,
28,22,
27,20,
27,22,
27,20,
27,22,
27,19,
27,19,
26,18,
28,20,
28,23,
28,21,
26,22,
27,21,
28,18,
20,18,
22,17,
22,19,
24,18,
25,15,
26,17,
26,17,
26,17,
29,20,
27,23,
28,23,
27,21,
27,20,
29,19,
28,19,
24,20,
26,20,
25,22,
28,17,
28,18,
29,19,
25,20,
26,20,
28,17,
26,18,
24,18,
26,15,
22,18,
24,16,
26,17,
26,15,
27,17,
28,15,
26,17,
22,18,
19,14,
23,14,
25,13,
27,16,
26,15,
21,16,
24,13,
25,15,
27,14,
26,18,
24,14,
24,15,
24,18,
26,19,
24,16,
25,15,
24,16,
24,16,
22,16,
20,15,
23,14,
26,13,
24,14,
25,14,
27,16,
26,14,
25,16,
24,12,
19,11,
24,13,
24,14,
25,14,
24,14,
26,15,
24,12,
24,13,
23,15,
23,14,
24,13,
22,16,
23,11,
28,9,
24,12,
25,11,
23,14,
24,10,
27,13,
20,13,
19,13,
22,12,
23,12,
24,15,
26,14,
24,13,
24,13,
24,13,
27,13,
22,18,
23,13,
24,16,
24,14,
25,12,
26,13,
30,15,
26,9,
25,11,
21,6,
21,7,
20,9,
20,11,
21,8,
21,8,
23,6,
25,5,
22,11,
22,14,
24,11,
22,11,
23,11,
27,7,
24,7,
22,7,
23,4,
23,14,
20,11,
19,12,
20,8,
21,9,
23,9,
22,7,
24,13,
22,9,
23,10,
19,10,
18,9,
20,6,
22,9,
22,11,
22,10,
25,10,
25,8,
22,11,
22,13,
18,15,
22,15,
24,12,
27,10,
23,16,
23,12,
24,15,
23,12,
24,13,
25,11,
24,13,
22,11,
20,10,
22,12,
24,11,
23,15,
24,16,
20,14,
20,11,
22,10,
21,10,
23,9,
17,13,
22,13,
23,11,
17,14,
20,10,
21,10,
24,14,
24,14,
24,19,
40,17,
23,12,
24,11,
25,16,
29,13,
23,15,
23,13,
17,15,
18,13,
22,14,
23,10,
26,10,
23,16,
23,18,
22,16,
20,18,
17,15,
23,10,
25,11,
24,14,
19,15,
18,14,
24,14,
22,18,
24,15,
24,17,
17,14,
17,13,
22,16,
21,17,
22,16,
24,17,
26,18,
25,19,
26,18,
24,19,
22,16,
20,16,
23,16,
22,20,
23,18,
24,14,
22,16,
26,19,
25,19,
21,17,
22,16,
23,14,
22,13,
24,17,
20,16,
25,17,
27,21,
24,19,
21,17,
23,19,
23,17,
19,15,
20,15,
23,17,
25,19,
23,18,
23,15,
22,18,
25,19,
24,18,
30,20,
29,21,
25,20,
22,17,
26,15,
29,19,
25,21,
22,18,
21,17,
19,15,
20,14,
23,14,
18,16,
22,15,
24,16,
24,17,
24,17,
26,20,
27,19,
25,20,
21,18,
24,15,
21,19,
22,19,
19,17,
23,17,
22,19,
23,19,
22,17,
27,18,
28,21,
32,24,
25,21,
25,20,
22,19,
22,18,
26,19,
20,17,
27,19,
25,20,
26,16,
26,19,
23,20,
27,21,
28,19,
28,19,
27,22,
24,21,
25,20,
29,21,
22,19,
28,18,
24,21,
26,19,
28,19,
